id,customer,date,amount,last_updated
3636,Walmart,2025-04-02,1386,2025-04-02T22:55:00
2615,Walmart,2025-04-02,925,2025-04-02T01:48:00
6180,Amazon,2025-04-02,1950,2025-04-02T01:35:00
7060,BestBuy,2025-04-02,355,2025-04-02T13:22:00
8236,Costco,2025-04-02,581,2025-04-02T10:29:00
4114,eBay,2025-04-03,847,2025-04-03T03:22:00
2444,Costco,2025-04-03,1330,2025-04-03T14:02:00
3999,Amazon,2025-04-03,1914,2025-04-03T02:45:00
1145,BestBuy,2025-04-03,455,2025-04-03T10:39:00
2150,Costco,2025-04-04,1112,2025-04-04T18:58:00
8345,Amazon,2025-04-04,438,2025-04-04T17:34:00
6465,Costco,2025-04-04,1386,2025-04-04T10:03:00
6984,Walmart,2025-04-04,1462,2025-04-04T05:32:00
9788,BestBuy,2025-04-04,244,2025-04-04T07:47:00
6053,Costco,2025-04-05,1313,2025-04-05T16:39:00
7784,BestBuy,2025-04-05,1391,2025-04-05T23:42:00
3193,eBay,2025-04-05,770,2025-04-05T06:44:00
9804,Costco,2025-04-05,1032,2025-04-05T18:21:00
2894,Amazon,2025-04-05,1870,2025-04-05T08:02:00
4545,Amazon,2025-04-06,1175,2025-04-06T14:01:00
4835,eBay,2025-04-06,848,2025-04-06T23:23:00
7693,Costco,2025-04-06,462,2025-04-06T20:40:00
6630,Walmart,2025-04-06,1793,2025-04-06T08:21:00
3339,Costco,2025-04-06,991,2025-04-06T11:02:00
9140,Amazon,2025-04-07,298,2025-04-07T11:48:00
9295,BestBuy,2025-04-07,452,2025-04-07T13:36:00
5164,Amazon,2025-04-07,1900,2025-04-07T04:15:00
8848,eBay,2025-04-07,970,2025-04-07T04:28:00
4594,Amazon,2025-04-07,1140,2025-04-07T12:46:00
3594,Target,2025-04-07,749,2025-04-07T19:40:00
7838,Costco,2025-04-08,1395,2025-04-08T21:45:00
5174,BestBuy,2025-04-08,114,2025-04-08T23:44:00
8367,Target,2025-04-08,108,2025-04-08T08:12:00
5165,eBay,2025-04-08,548,2025-04-08T22:02:00
2458,eBay,2025-04-09,1125,2025-04-09T07:28:00
3778,Amazon,2025-04-09,1689,2025-04-09T01:33:00
7832,BestBuy,2025-04-09,1354,2025-04-09T03:52:00
5753,eBay,2025-04-09,252,2025-04-09T07:56:00
5032,Target,2025-04-10,878,2025-04-10T15:38:00
9650,Amazon,2025-04-10,710,2025-04-10T09:42:00
9872,Amazon,2025-04-10,1871,2025-04-10T20:16:00
5156,Costco,2025-04-10,1324,2025-04-10T01:55:00
5884,Target,2025-04-11,1930,2025-04-11T05:17:00
6147,eBay,2025-04-11,273,2025-04-11T10:55:00
2545,Walmart,2025-04-11,479,2025-04-11T18:27:00
2442,BestBuy,2025-04-11,238,2025-04-11T22:42:00
2041,Costco,2025-04-12,504,2025-04-12T20:22:00
8740,Walmart,2025-04-12,1149,2025-04-12T00:17:00
8868,Costco,2025-04-12,1026,2025-04-12T14:51:00
6508,eBay,2025-04-13,923,2025-04-13T07:43:00
6760,Walmart,2025-04-13,1138,2025-04-13T15:35:00
3155,Costco,2025-04-13,798,2025-04-13T11:27:00
6884,Target,2025-04-13,535,2025-04-13T23:28:00
5245,BestBuy,2025-04-14,774,2025-04-14T15:08:00
3826,Amazon,2025-04-14,1334,2025-04-14T09:49:00
9860,Amazon,2025-04-14,861,2025-04-14T18:37:00
2630,Walmart,2025-04-14,557,2025-04-14T01:05:00
1540,Walmart,2025-04-15,1740,2025-04-15T01:17:00
5643,Walmart,2025-04-15,585,2025-04-15T23:02:00
4116,Amazon,2025-04-15,824,2025-04-15T01:06:00
4311,Walmart,2025-04-16,1382,2025-04-16T22:58:00
3318,eBay,2025-04-16,485,2025-04-16T07:59:00
